STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,LOCATION,Country,INDICATOR,Indicator,SUBJECT,Subject,MEASURE,Measure,FREQUENCY,Frequency,TIME_PERIOD,Time,OBS_VALUE,Observation Value,OBS_STATUS,Observation Status,UNIT_MEASURE,Unit of Measures,UNIT_MULT,Multiplier,BASE_PER,Base reference period
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,SWE,Sweden,PATENT,Triadic patent families,TOT,Total,NBR,Number,A,Annual,1985,,432.1251,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,SWE,Sweden,PATENT,Triadic patent families,TOT,Total,NBR,Number,A,Annual,1992,,572.7961,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,SWE,Sweden,PATENT,Triadic patent families,TOT,Total,NBR,Number,A,Annual,1993,,551.7498,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,SWE,Sweden,PATENT,Triadic patent families,TOT,Total,NBR,Number,A,Annual,1998,,881.5026,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,SWE,Sweden,PATENT,Triadic patent families,TOT,Total,NBR,Number,A,Annual,1997,,996.2203,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,SWE,Sweden,PATENT,Triadic patent families,TOT,Total,NBR,Number,A,Annual,2006,,884.1988,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,SWE,Sweden,PATENT,Triadic patent families,TOT,Total,NBR,Number,A,Annual,2005,,969.6292,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,SWE,Sweden,PATENT,Triadic patent families,TOT,Total,NBR,Number,A,Annual,2013,,588.7791,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,SWE,Sweden,PATENT,Triadic patent families,TOT,Total,NBR,Number,A,Annual,2014,,676.2235,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,SWE,Sweden,NATPOPDIST,National population distribution,URBAN,Urban regions,PC,Percentage,A,Annual,2014,,22.3,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,SWE,Sweden,PATENT,Triadic patent families,TOT,Total,NBR,Number,A,Annual,1988,,377.076,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,SWE,Sweden,PATENT,Triadic patent families,TOT,Total,NBR,Number,A,Annual,1991,,457.8256,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,SWE,Sweden,PATENT,Triadic patent families,TOT,Total,NBR,Number,A,Annual,1990,,443.3874,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,SWE,Sweden,PATENT,Triadic patent families,TOT,Total,NBR,Number,A,Annual,1996,,928.8395,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,SWE,Sweden,PATENT,Triadic patent families,TOT,Total,NBR,Number,A,Annual,2004,,806.4073,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,SWE,Sweden,PATENT,Triadic patent families,TOT,Total,NBR,Number,A,Annual,2003,,756.5477,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,SWE,Sweden,PATENT,Triadic patent families,TOT,Total,NBR,Number,A,Annual,2001,,754.0014,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,SWE,Sweden,PATENT,Triadic patent families,TOT,Total,NBR,Number,A,Annual,2009,,791.791,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,SWE,Sweden,PATENT,Triadic patent families,TOT,Total,NBR,Number,A,Annual,2011,,616.2968,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,SWE,Sweden,PATENT,Triadic patent families,TOT,Total,NBR,Number,A,Annual,2012,,661.9839,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,SWE,Sweden,NATPOPDIST,National population distribution,RURAL,Rural regions,PC,Percentage,A,Annual,2014,,47.8,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,SWE,Sweden,PATENT,Triadic patent families,TOT,Total,NBR,Number,A,Annual,2020,,864.4377,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,SWE,Sweden,PATENT,Triadic patent families,TOT,Total,NBR,Number,A,Annual,2017,,809.5892,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,SWE,Sweden,PATENT,Triadic patent families,TOT,Total,NBR,Number,A,Annual,2019,,867.0103,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,SWE,Sweden,PATENT,Triadic patent families,TOT,Total,NBR,Number,A,Annual,1986,,435.9607,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,SWE,Sweden,PATENT,Triadic patent families,TOT,Total,NBR,Number,A,Annual,1987,,394.4677,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,SWE,Sweden,PATENT,Triadic patent families,TOT,Total,NBR,Number,A,Annual,1989,,452.0702,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,SWE,Sweden,PATENT,Triadic patent families,TOT,Total,NBR,Number,A,Annual,1994,,686.5132,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,SWE,Sweden,PATENT,Triadic patent families,TOT,Total,NBR,Number,A,Annual,1995,,764.2213,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,SWE,Sweden,PATENT,Triadic patent families,TOT,Total,NBR,Number,A,Annual,1999,,924.6743,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,SWE,Sweden,PATENT,Triadic patent families,TOT,Total,NBR,Number,A,Annual,2002,,794.3163,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,SWE,Sweden,PATENT,Triadic patent families,TOT,Total,NBR,Number,A,Annual,2000,,792.5629,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,SWE,Sweden,PATENT,Triadic patent families,TOT,Total,NBR,Number,A,Annual,2007,,960.7824,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,SWE,Sweden,PATENT,Triadic patent families,TOT,Total,NBR,Number,A,Annual,2008,,835.0014,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,SWE,Sweden,PATENT,Triadic patent families,TOT,Total,NBR,Number,A,Annual,2010,,641.8864,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,SWE,Sweden,PATENT,Triadic patent families,TOT,Total,NBR,Number,A,Annual,2015,,730.6807,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,SWE,Sweden,PATENT,Triadic patent families,TOT,Total,NBR,Number,A,Annual,2018,,885.6256,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,SWE,Sweden,PATENT,Triadic patent families,TOT,Total,NBR,Number,A,Annual,2016,,780.3116,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,SWE,Sweden,NATPOPDIST,National population distribution,INTMD,Intermediate regions,PC,Percentage,A,Annual,2014,,30,,A,,,,,,,
