Country Name,ие╣Щ
1960,
1961,
1962,
1963,
1964,
1965,
1966,
1967,
1968,
1969,
1970,
1971,
1972,
1973,
1974,
1975,27.29983168
1976,27.03155092
1977,26.69870772
1978,26.80493458
1979,26.73353715
1980,25.98952162
1981,23.60014506
1982,22.41284781
1983,21.97918491
1984,21.7027965
1985,21.68792113
1986,22.75811073
1987,22.61662418
1988,23.78143215
1989,24.32103886
1990,24.4240885
1991,23.94490938
1992,23.32951282
1993,21.85742225
1994,21.90494915
1995,22.26446403
1996,22.13978084
1997,22.92699712
1998,24.05646286
1999,24.63466862
2000,23.95376545
2001,24.21817877
2002,23.07428204
2003,22.46475222
2004,22.80572552
2005,22.56037249
2006,23.09065811
2007,23.61206442
2008,23.27504658
2009,20.74090804
2010,20.79480492
2011,21.62961143
2012,21.03185406
2013,20.85306252
2014,20.81357427
2015,21.52917668
2016,21.36388662
2017,22.09918623
2018,22.29364625
2019,22.87746381
2020,19.5283642
2021,22.28226548
2022,20.64103233
2023,20.58725015
